Designator,Mid X,Mid Y,Layer,Rotation
C1,164.25,-51,top,-90
C2,167.725,-54.75,top,180
C3,208,-50.725,top,-90
C4,210,-50.725,top,-90
C5,195.525,-56,top,0
C6,193,-56.5,top,-90
C7,194.225,-53.026,top,180
C8,197.5,-53.026,top,180
C9,189.025,-51.5,top,0
C10,189,-53.25,top,0
C11,189.025,-49.75,top,0
C12,175.5,-59.275,top,90
C13,173.75,-59.275,top,90
C14,167.25,-48.25,top,0
C15,186.5,-61.5,top,-90
D1,208.75,-47.75,top,180
D2,210,-44,top,-90
D3,205,-48.5,top,0
D4,182.75,-50.5,top,-90
D5,214,-41,top,-90
J1,188.465,-46.5,top,180
J2,202.5,-41.728493,top,180
J3,151.25,-45.5,top,0
J4,213.5575,-44.7125,top,0
JP1,175.25,-55.6,top,-90
JP2,188.503115,-61.317372,top,-90
LS1,156.7,-55,top,0
Q1,149.0625,-49.05,top,180
R1,172.825,-49.75,top,180
R2,172.825,-51.5,top,180
R3,181.56969,-48.74062,top,0
R4,184.744911,-48.74062,top,180
R5,200.925,-47.25,top,0
R6,200.925,-49,top,180
R7,200.925,-50.75,top,0
R8,192.925,-49,top,180
R9,161.175,-40,top,180
R10,170.325,-45.75,top,180
R11,161.25,-43.5,top,0
R12,161.175,-41.75,top,180
R13,185.075,-50.5,top,0
R14,170.925,-54.75,top,180
R15,165.25,-55.425,top,90
R16,195.75,-60.5,top,0
R17,193,-59.75,top,-90
R18,209.175,-53.75,top,0
U1,168.25,-51.5,top,0
U2,210.5,-40,top,0
U3,203.25,-56.75,top,0
U4,195.500001,-58.2126,top,0
U5,196.999811,-49.147,top,180
U6,166.93,-41.865,top,0
U7,182,-56.5,top,90
Y2,169,-60.75,top,90
